year,nationality_of_ownership,Actual_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Actual_Capital_Expenditure_-_Land_and_Buildings,Actual_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Actual_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Actual_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Actual_Current_Expenditure_-_Labour_Costs,Actual_Current_Expenditure_-_Other_Current_Costs,Actual_Total_Capital_Expenditure,Actual_Total_Current_Expenditure,Actual_Total_Research_and_Development_Expenditure,Estimated_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Estimated_Capital_Expenditure_-_Land_and_Buildings,Estimated_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Estimated_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Estimated_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Estimated_Current_Expenditure_-_Labour_Costs,Estimated_Current_Expenditure_-_Other_Current_Costs,Estimated_Total_Capital_Expenditure,Estimated_Total_Current_Expenditure,Estimated_Total_Research_and_Development_Expenditure,expenditure,Enterprises_Engaged_in_Research_and_Development_Activities_%,Enterprises_Engaged_in_Research_and_Development_Activities_Number,type_of_innovation,Enterprises_Engaged_in_Intellectual_Property_Rights_Activities
2,0,221726.0,49613.0,2666.0,27640.0,23967.0,947497.0,595346.0,325613.0,1542843.0,1868456.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,33.9,435.0,0,5.658666666666666
2,0,221726.0,49613.0,2666.0,27640.0,23967.0,947497.0,595346.0,325613.0,1542843.0,1868456.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,34.2,439.0,0,5.658666666666666
2,0,221726.0,49613.0,2666.0,27640.0,23967.0,947497.0,595346.0,325613.0,1542843.0,1868456.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,5.1,65.0,0,5.658666666666666
2,0,221726.0,49613.0,2666.0,27640.0,23967.0,947497.0,595346.0,325613.0,1542843.0,1868456.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,21.6,277.0,0,5.658666666666666
2,0,221726.0,49613.0,2666.0,27640.0,23967.0,947497.0,595346.0,325613.0,1542843.0,1868456.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,5.2,67.0,0,5.658666666666666
2,0,221726.0,49613.0,2666.0,27640.0,23967.0,947497.0,595346.0,325613.0,1542843.0,1868456.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,1283.0,0,5.658666666666666
2,1,31491.0,12425.0,2412.0,22192.0,22521.0,307620.0,164557.0,91040.0,472177.0,563217.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,40.3,384.0,0,5.658666666666666
2,1,31491.0,12425.0,2412.0,22192.0,22521.0,307620.0,164557.0,91040.0,472177.0,563217.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,37.0,352.0,0,5.658666666666666
2,1,31491.0,12425.0,2412.0,22192.0,22521.0,307620.0,164557.0,91040.0,472177.0,563217.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,3.6,34.0,0,5.658666666666666
2,1,31491.0,12425.0,2412.0,22192.0,22521.0,307620.0,164557.0,91040.0,472177.0,563217.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,17.9,170.0,0,5.658666666666666
