"Statistic Label","Year","Nationality of Ownership","Expenditure","UNIT","VALUE"
"Enterprises Engaged in Research and Development Activities (%)","2007","All nationalities of ownership","€2,000,000 - €4,999,999","%","7.5"
"Enterprises Engaged in Research and Development Activities (%)","2007","All nationalities of ownership","€5,000,000 and over","%","6.1"
"Enterprises Engaged in Research and Development Activities (%)","2007","Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2007","Irish ownership","€0 - €99,999","%","40.1"
"Enterprises Engaged in Research and Development Activities (%)","2007","Irish ownership","€100,000 - €499,999","%","35.9"
"Enterprises Engaged in Research and Development Activities (%)","2007","Irish ownership","€500,000 - €1,999,999","%","18"
"Enterprises Engaged in Research and Development Activities (%)","2007","Irish ownership","€2,000,000 - €4,999,999","%","4.5"
"Enterprises Engaged in Research and Development Activities (%)","2007","Irish ownership","€5,000,000 and over","%","1.5"
"Enterprises Engaged in Research and Development Activities (%)","2007","Non Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2007","Non Irish ownership","€0 - €99,999","%","23.4"
"Enterprises Engaged in Research and Development Activities (%)","2007","Non Irish ownership","€100,000 - €499,999","%","27"
"Enterprises Engaged in Research and Development Activities (%)","2007","Non Irish ownership","€500,000 - €1,999,999","%","20.3"
"Enterprises Engaged in Research and Development Activities (%)","2007","Non Irish ownership","€2,000,000 - €4,999,999","%","13.9"
"Enterprises Engaged in Research and Development Activities (%)","2007","Non Irish ownership","€5,000,000 and over","%","15.7"
"Enterprises Engaged in Research and Development Activities (%)","2009","All nationalities of ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2009","All nationalities of ownership","€0 - €99,999","%","33.9"
"Enterprises Engaged in Research and Development Activities (%)","2009","All nationalities of ownership","€100,000 - €499,999","%","34.2"
"Enterprises Engaged in Research and Development Activities (%)","2009","All nationalities of ownership","€500,000 - €1,999,999","%","21.6"
"Enterprises Engaged in Research and Development Activities (%)","2009","All nationalities of ownership","€2,000,000 - €4,999,999","%","5.1"
"Enterprises Engaged in Research and Development Activities (%)","2009","All nationalities of ownership","€5,000,000 and over","%","5.2"
"Enterprises Engaged in Research and Development Activities (%)","2009","Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2009","Irish ownership","€0 - €99,999","%","40.3"
"Enterprises Engaged in Research and Development Activities (%)","2009","Irish ownership","€100,000 - €499,999","%","37"
"Enterprises Engaged in Research and Development Activities (%)","2009","Irish ownership","€500,000 - €1,999,999","%","17.9"
"Enterprises Engaged in Research and Development Activities (%)","2009","Irish ownership","€2,000,000 - €4,999,999","%","3.6"
"Enterprises Engaged in Research and Development Activities (%)","2009","Irish ownership","€5,000,000 and over","%","1.3"
"Enterprises Engaged in Research and Development Activities (%)","2009","Non Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2009","Non Irish ownership","€0 - €99,999","%","15.4"
"Enterprises Engaged in Research and Development Activities (%)","2009","Non Irish ownership","€100,000 - €499,999","%","26.3"
"Enterprises Engaged in Research and Development Activities (%)","2009","Non Irish ownership","€500,000 - €1,999,999","%","32.3"
"Enterprises Engaged in Research and Development Activities (%)","2009","Non Irish ownership","€2,000,000 - €4,999,999","%","9.4"
"Enterprises Engaged in Research and Development Activities (%)","2009","Non Irish ownership","€5,000,000 and over","%","16.6"
"Enterprises Engaged in Research and Development Activities (%)","2011","All nationalities of ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2011","All nationalities of ownership","€0 - €99,999","%","33.5"
"Enterprises Engaged in Research and Development Activities (%)","2011","All nationalities of ownership","€100,000 - €499,999","%","39.1"
"Enterprises Engaged in Research and Development Activities (%)","2011","All nationalities of ownership","€500,000 - €1,999,999","%","17.9"
"Enterprises Engaged in Research and Development Activities (%)","2011","All nationalities of ownership","€2,000,000 - €4,999,999","%","5.2"
"Enterprises Engaged in Research and Development Activities (%)","2011","All nationalities of ownership","€5,000,000 and over","%","4.3"
"Enterprises Engaged in Research and Development Activities (%)","2011","Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2011","Irish ownership","€0 - €99,999","%","38.6"
"Enterprises Engaged in Research and Development Activities (%)","2011","Irish ownership","€100,000 - €499,999","%","41.9"
"Enterprises Engaged in Research and Development Activities (%)","2011","Irish ownership","€500,000 - €1,999,999","%","16.1"
"Enterprises Engaged in Research and Development Activities (%)","2011","Irish ownership","€2,000,000 - €4,999,999","%","2.1"
"Enterprises Engaged in Research and Development Activities (%)","2011","Irish ownership","€5,000,000 and over","%","1.3"
"Enterprises Engaged in Research and Development Activities (%)","2011","Non Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2011","Non Irish ownership","€0 - €99,999","%","18.9"
"Enterprises Engaged in Research and Development Activities (%)","2011","Non Irish ownership","€100,000 - €499,999","%","30.9"
"Enterprises Engaged in Research and Development Activities (%)","2011","Non Irish ownership","€500,000 - €1,999,999","%","23"
"Enterprises Engaged in Research and Development Activities (%)","2011","Non Irish ownership","€2,000,000 - €4,999,999","%","14.1"
"Enterprises Engaged in Research and Development Activities (%)","2011","Non Irish ownership","€5,000,000 and over","%","12.9"
"Enterprises Engaged in Research and Development Activities (%)","2013","All nationalities of ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2013","All nationalities of ownership","€0 - €99,999","%","38.81"
"Enterprises Engaged in Research and Development Activities (%)","2013","All nationalities of ownership","€100,000 - €499,999","%","34.87"
"Enterprises Engaged in Research and Development Activities (%)","2013","All nationalities of ownership","€500,000 - €1,999,999","%","17.64"
"Enterprises Engaged in Research and Development Activities (%)","2013","All nationalities of ownership","€2,000,000 - €4,999,999","%","4.85"
"Enterprises Engaged in Research and Development Activities (%)","2013","All nationalities of ownership","€5,000,000 and over","%","3.84"
"Enterprises Engaged in Research and Development Activities (%)","2013","Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2013","Irish ownership","€0 - €99,999","%","44.73"
"Enterprises Engaged in Research and Development Activities (%)","2013","Irish ownership","€100,000 - €499,999","%","36.21"
"Enterprises Engaged in Research and Development Activities (%)","2013","Irish ownership","€500,000 - €1,999,999","%","15.57"
"Enterprises Engaged in Research and Development Activities (%)","2013","Irish ownership","€2,000,000 - €4,999,999","%","2.16"
"Enterprises Engaged in Research and Development Activities (%)","2013","Irish ownership","€5,000,000 and over","%","1.33"
"Enterprises Engaged in Research and Development Activities (%)","2013","Non Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2013","Non Irish ownership","€0 - €99,999","%","15.8"
"Enterprises Engaged in Research and Development Activities (%)","2013","Non Irish ownership","€100,000 - €499,999","%","29.63"
"Enterprises Engaged in Research and Development Activities (%)","2013","Non Irish ownership","€500,000 - €1,999,999","%","25.68"
"Enterprises Engaged in Research and Development Activities (%)","2013","Non Irish ownership","€2,000,000 - €4,999,999","%","15.31"
"Enterprises Engaged in Research and Development Activities (%)","2013","Non Irish ownership","€5,000,000 and over","%","13.58"
"Enterprises Engaged in Research and Development Activities (%)","2015","All nationalities of ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2015","All nationalities of ownership","€0 - €99,999","%","37.01"
"Enterprises Engaged in Research and Development Activities (%)","2015","All nationalities of ownership","€100,000 - €499,999","%","36.11"
"Enterprises Engaged in Research and Development Activities (%)","2015","All nationalities of ownership","€500,000 - €1,999,999","%","17.07"
"Enterprises Engaged in Research and Development Activities (%)","2015","All nationalities of ownership","€2,000,000 - €4,999,999","%","4.8"
"Enterprises Engaged in Research and Development Activities (%)","2015","All nationalities of ownership","€5,000,000 and over","%","5.01"
"Enterprises Engaged in Research and Development Activities (%)","2015","Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2015","Irish ownership","€0 - €99,999","%","41.94"
"Enterprises Engaged in Research and Development Activities (%)","2015","Irish ownership","€100,000 - €499,999","%","38.78"
"Enterprises Engaged in Research and Development Activities (%)","2015","Irish ownership","€500,000 - €1,999,999","%","14.7"
"Enterprises Engaged in Research and Development Activities (%)","2015","Irish ownership","€2,000,000 - €4,999,999","%","2.96"
"Enterprises Engaged in Research and Development Activities (%)","2015","Irish ownership","€5,000,000 and over","%","1.68"
"Enterprises Engaged in Research and Development Activities (%)","2015","Non Irish ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2015","Non Irish ownership","€0 - €99,999","%","18.09"
"Enterprises Engaged in Research and Development Activities (%)","2015","Non Irish ownership","€100,000 - €499,999","%","25.84"
"Enterprises Engaged in Research and Development Activities (%)","2015","Non Irish ownership","€500,000 - €1,999,999","%","26.36"
"Enterprises Engaged in Research and Development Activities (%)","2015","Non Irish ownership","€2,000,000 - €4,999,999","%","11.89"
"Enterprises Engaged in Research and Development Activities (%)","2015","Non Irish ownership","€5,000,000 and over","%","17.83"
"Enterprises Engaged in Research and Development Activities (%)","2017","All nationalities of ownership","Any expenditure","%","100"
"Enterprises Engaged in Research and Development Activities (%)","2017","All nationalities of ownership","€0 - €99,999","%","36.9"
"Enterprises Engaged in Research and Development Activities (%)","2017","All nationalities of ownership","€100,000 - €499,999","%","33.3"
"Enterprises Engaged in Research and Development Activities (%)","2017","All nationalities of ownership","€500,000 - €1,999,999","%","18.2"
"Enterprises Engaged in Research and Development Activities (%)","2017","All nationalities of ownership","€2,000,000 - €4,999,999","%","5.3"
"Enterprises Engaged in Research and Development Activities (%)","2017","All nationalities of ownership","€5,000,000 and over","%","6.3"
